               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.037965,            0.025474,           0.0044347,             0.75992,             0.72435,             0.77578,             0.39816,            0.066022,            0.012677,            0.020304,            0.005545,            0.005545,            0.005545
                 137,            0.039546,            0.029937,           0.0057201,             0.76376,              0.7298,              0.7757,              0.4829,            0.053748,            0.014003,            0.020725,            0.005512,            0.005512,            0.005512
                 138,            0.035951,            0.021082,           0.0071859,             0.76376,              0.7298,              0.7757,              0.4829,            0.053748,            0.014003,            0.020725,            0.005479,            0.005479,            0.005479
                 139,            0.036284,            0.025616,           0.0063694,             0.75064,             0.77157,             0.77565,              0.4942,            0.054007,            0.013932,            0.018894,            0.005446,            0.005446,            0.005446
                 140,            0.045317,             0.02463,           0.0047636,             0.75064,             0.77157,             0.77565,              0.4942,            0.054007,            0.013932,            0.018894,            0.005413,            0.005413,            0.005413
                 141,             0.03777,            0.021088,           0.0044105,             0.79259,             0.47609,              0.5338,             0.27558,            0.062606,            0.012966,            0.017954,             0.00538,             0.00538,             0.00538
                 142,            0.041642,            0.032227,           0.0091809,             0.79259,             0.47609,              0.5338,             0.27558,            0.062606,            0.012966,            0.017954,            0.005347,            0.005347,            0.005347
                 143,            0.038625,            0.021253,            0.010842,                   1,             0.69157,             0.83061,             0.44048,             0.05384,            0.013421,            0.016584,            0.005314,            0.005314,            0.005314
                 144,            0.039974,            0.021917,           0.0066514,                   1,             0.69157,             0.83061,             0.44048,             0.05384,            0.013421,            0.016584,            0.005281,            0.005281,            0.005281
                 145,            0.037888,            0.020735,           0.0047619,             0.77256,             0.56794,             0.67562,             0.34585,            0.060261,            0.012686,            0.014791,            0.005248,            0.005248,            0.005248
                 146,            0.038191,             0.02033,           0.0068164,             0.77256,             0.56794,             0.67562,             0.34585,            0.060261,            0.012686,            0.014791,            0.005215,            0.005215,            0.005215
                 147,            0.041257,            0.026051,           0.0056081,             0.97948,             0.78779,             0.83067,             0.46213,            0.048144,            0.014184,            0.013875,            0.005182,            0.005182,            0.005182
                 148,             0.03839,            0.026595,            0.006385,             0.97948,             0.78779,             0.83067,             0.46213,            0.048144,            0.014184,            0.013875,            0.005149,            0.005149,            0.005149
                 149,            0.034782,            0.023119,           0.0050368,             0.72609,             0.64973,             0.67705,             0.37298,            0.055003,              0.0135,            0.012201,            0.005116,            0.005116,            0.005116
                 150,            0.029186,            0.025718,            0.010273,             0.72609,             0.64973,             0.67705,             0.37298,            0.055003,              0.0135,            0.012201,            0.005083,            0.005083,            0.005083
                 151,            0.034002,             0.02397,           0.0056287,             0.96982,             0.81559,             0.83069,             0.39146,            0.050675,            0.014061,            0.011545,             0.00505,             0.00505,             0.00505
                 152,            0.031933,            0.021497,           0.0030396,             0.96982,             0.81559,             0.83069,             0.39146,            0.050675,            0.014061,            0.011545,            0.005017,            0.005017,            0.005017
                 153,            0.036067,            0.024193,           0.0070512,             0.92362,                 0.5,             0.52063,             0.28975,            0.061593,             0.01333,            0.010623,            0.004984,            0.004984,            0.004984
                 154,            0.042251,            0.018048,           0.0032457,             0.92362,                 0.5,             0.52063,             0.28975,            0.061593,             0.01333,            0.010623,            0.004951,            0.004951,            0.004951
                 155,             0.04101,            0.021449,           0.0051888,             0.96737,             0.81424,             0.83057,             0.41462,             0.04905,            0.014644,            0.010792,            0.004918,            0.004918,            0.004918
                 156,            0.029903,            0.022501,           0.0029913,             0.96737,             0.81424,             0.83057,             0.41462,             0.04905,            0.014644,            0.010792,            0.004885,            0.004885,            0.004885
                 157,            0.033485,            0.020723,           0.0037611,             0.89564,             0.49822,             0.51131,             0.33843,            0.061439,            0.013481,           0.0095613,            0.004852,            0.004852,            0.004852
                 158,            0.031615,             0.02087,           0.0032469,             0.89564,             0.49822,             0.51131,             0.33843,            0.061439,            0.013481,           0.0095613,            0.004819,            0.004819,            0.004819
